OVERALL_RATING,POTENTIAL,VALUE,WAGE,HEIGHT,KIT_NUMBER,WEAK_FOOT,SKILL_MOVES,RELEASE_CLAUSE,POSITION,ATTACKING,SKILL,MOVEMENT,POWER,MENTALITY,DEFENDING,GOALKEEPING,AGE,PREFERRED_FOOT_Left,PREFERRED_FOOT_Right
73,84,6.0,9.0,194,42,3,2,11.4,CB,48,44,54,57,56,78,9,20,False,True
62,84,1.2,2.0,175,73,2,3,3.5,CAM,56,56,75,64,60,59,10,18,False,True
77,86,23.0,72.0,182,31,4,4,48.3,RW,64,74,84,70,59,37,11,21,True,False
75,84,12.5,11.0,182,8,5,3,20.0,CM,68,76,73,68,70,65,9,21,True,False
79,86,36.0,110.0,170,19,4,4,73.8,ST,76,79,82,77,75,53,9,23,False,True
70,86,4.0,3.0,181,33,3,4,10.1,CAM,58,67,74,62,51,38,10,18,False,True
86,89,93.0,125.0,178,8,2,5,183.7,CAM,77,86,79,70,74,55,13,25,True,False
82,83,32.0,63.0,184,99,3,3,56.8,CDM,67,69,79,79,78,81,10,28,False,True
79,86,35.5,69.0,182,10,4,4,74.6,LW,66,73,77,62,64,33,11,23,False,True
77,86,23.5,21.0,185,17,3,4,44.7,CM,69,73,74,73,71,70,11,22,False,True
84,91,82.0,46.0,176,27,4,4,155.8,CAM,71,79,82,67,70,54,12,20,False,True
80,87,43.0,15.0,185,88,4,2,94.6,ST,74,66,79,81,68,42,11,22,False,True
68,86,3.0,4.0,183,39,3,3,6.8,ST,61,64,73,66,52,26,11,18,False,True
80,82,23.5,52.0,190,3,3,2,41.7,CB,47,51,74,67,62,81,12,27,False,True
71,85,4.0,15.0,189,31,2,1,10.1,GK,16,22,51,41,25,13,71,21,False,True
72,83,5.0,26.0,187,71,3,3,0.0,CAM,64,63,74,64,64,56,11,21,False,True
89,89,86.0,240.0,185,18,3,2,163.4,CDM,73,77,69,87,81,89,14,31,False,True
80,84,28.0,69.0,185,4,4,2,55.3,RB,52,60,70,62,64,82,9,26,False,True
76,86,16.0,7.0,170,35,3,3,32.0,CAM,67,73,78,64,60,44,10,20,True,False
80,84,31.0,71.0,190,17,3,4,61.2,CF,69,72,81,76,74,62,10,24,True,False
90,94,176.5,240.0,195,9,3,3,339.8,ST,78,71,84,86,79,41,11,23,True,False
84,89,63.5,90.0,188,17,4,4,112.7,LW,76,76,87,75,65,23,12,24,False,True
77,87,23.5,7.0,171,23,4,4,38.8,CAM,65,80,87,67,71,53,10,22,False,True
73,83,6.5,25.0,182,24,5,4,13.7,CF,67,62,77,71,54,20,10,21,True,False
70,80,3.3,37.0,175,42,2,2,7.4,RB,47,55,75,58,61,68,12,22,False,True
79,87,38.0,21.0,172,21,4,3,87.4,RM,70,74,78,55,58,40,9,21,False,True
71,86,4.4,3.0,176,21,3,3,11.6,LM,59,67,79,57,60,35,12,19,False,True
84,88,61.5,70.0,171,19,3,4,109.2,RM,67,72,90,65,66,43,10,24,True,False
83,89,58.5,150.0,174,21,4,4,131.6,RW,75,80,86,73,66,30,9,22,False,True
81,89,52.5,75.0,182,12,3,4,118.1,CDM,69,76,80,75,75,78,10,21,True,False
79,87,37.0,13.0,179,2,3,3,59.2,CB,59,60,77,71,69,81,10,22,False,True
83,89,52.0,135.0,188,4,3,2,117.0,CB,63,56,70,69,67,84,11,24,False,True
72,84,5.5,10.0,174,7,3,4,8.8,RW,56,68,82,58,58,33,9,21,False,True
68,79,2.4,3.0,181,31,2,2,4.1,CB,46,50,74,58,57,69,10,20,True,False
84,87,52.0,83.0,185,41,3,2,102.7,CDM,65,74,69,78,77,82,10,24,False,True
81,87,41.5,46.0,186,10,4,4,78.9,CAM,77,85,78,77,65,30,10,23,False,True
85,92,104.5,115.0,174,8,4,4,235.1,CM,67,81,85,73,74,68,10,21,False,True
76,86,16.0,51.0,178,44,4,4,30.4,CDM,66,78,76,69,70,71,10,22,False,True
82,87,40.5,39.0,187,24,3,2,88.1,CB,51,50,61,61,53,84,13,27,False,True
79,86,34.0,10.0,185,4,3,2,54.4,RB,64,62,76,68,67,79,12,23,False,True
64,84,1.6,7.0,187,30,4,4,4.6,CM,58,63,64,53,62,52,11,20,False,True
76,85,15.5,12.0,181,4,3,2,35.7,RB,61,65,76,63,64,71,9,20,False,True
80,84,30.0,65.0,176,20,3,3,59.3,CM,75,82,74,75,75,70,12,25,False,True
78,85,26.0,42.0,178,25,3,3,54.6,CDM,60,66,75,75,71,77,12,22,False,True
73,82,6.5,58.0,178,36,3,3,13.7,RW,67,65,82,68,56,36,10,21,False,True
73,86,7.0,500.0,172,10,4,3,19.8,CM,65,77,75,68,67,61,7,20,False,True
73,86,7.0,6.0,176,10,3,4,17.7,CAM,65,77,76,61,64,52,12,18,True,False
69,85,3.3,500.0,179,27,3,3,9.0,RB,53,57,73,56,56,66,10,19,False,True
72,84,5.5,7.0,170,37,4,4,9.4,CAM,63,70,75,64,59,34,9,19,False,True
79,82,0.0,0.0,173,10,3,4,0.0,LW,71,78,81,78,66,27,9,26,False,True
80,86,31.0,90.0,184,20,4,4,65.1,RB,66,73,78,79,73,76,8,24,False,True
82,87,37.5,13.0,192,99,2,1,77.8,GK,18,25,46,44,31,15,81,24,False,True
78,85,29.0,28.0,173,14,4,4,66.7,ST,73,77,84,68,60,43,10,22,True,False
83,89,59.0,71.0,181,11,4,5,0.0,CF,79,81,84,75,72,36,14,24,False,True
75,83,12.0,41.0,180,3,3,3,25.2,LB,62,71,77,60,64,73,12,22,True,False
79,88,38.5,45.0,190,38,4,4,71.2,CM,72,78,77,77,69,66,10,21,False,True
76,86,16.5,29.0,188,23,4,3,31.4,ST,73,72,75,77,66,26,11,21,False,True
73,83,6.5,11.0,184,20,3,2,12.4,LB,57,61,73,55,62,73,11,20,True,False
75,85,11.5,23.0,192,8,4,3,24.2,CDM,63,65,67,71,65,73,10,22,False,True
74,84,8.5,3.0,176,11,3,3,14.5,LB,62,60,80,65,65,68,12,20,True,False
77,83,16.5,41.0,175,59,4,3,31.4,RM,63,72,79,60,67,62,9,21,False,True
77,85,21.0,27.0,184,4,2,2,44.1,CB,59,60,74,64,64,79,12,21,True,False
91,91,54.0,195.0,169,30,4,4,99.9,RW,85,93,89,77,74,27,11,36,True,False
76,82,12.0,60.0,182,17,3,4,0.0,LM,67,76,79,65,61,48,12,23,False,True
84,89,59.5,150.0,181,23,3,3,126.4,RB,61,59,80,67,66,85,12,25,False,True
81,85,38.0,41.0,175,9,5,3,75.1,ST,76,69,79,80,69,26,8,23,False,True
84,89,65.5,140.0,190,9,3,3,116.3,ST,75,76,73,81,68,23,10,23,True,False
73,80,6.0,17.0,178,10,3,3,12.0,CM,62,72,81,72,69,63,8,24,False,True
77,87,22.5,9.0,178,65,3,2,45.0,LB,66,74,78,73,67,75,11,23,True,False
77,83,16.5,41.0,175,59,4,3,31.4,RM,63,72,79,60,67,62,9,21,False,True
85,85,45.0,170.0,191,19,4,2,85.5,CB,59,63,70,68,67,86,10,30,False,True
80,83,27.5,90.0,186,7,3,3,54.3,CM,69,68,76,80,78,78,12,27,False,True
80,84,30.5,34.0,192,10,3,3,54.1,ST,75,69,76,79,66,42,13,26,False,True
77,80,14.5,1.0,182,7,3,4,33.0,ST,71,77,82,80,64,30,10,26,True,False
83,88,49.5,95.0,185,17,2,3,97.8,CB,60,57,73,66,65,86,10,25,False,True
80,84,28.0,46.0,175,16,3,3,59.5,RB,70,67,82,72,70,75,10,25,False,True
76,83,14.5,14.0,183,3,3,2,23.2,RB,56,57,75,72,64,77,10,24,False,True
74,83,8.5,28.0,190,37,5,2,17.9,CB,43,42,70,58,52,74,11,22,False,True
66,81,1.7,2.0,193,36,2,1,4.3,GK,13,15,45,41,29,12,65,19,False,True
74,84,8.5,7.0,179,15,5,3,13.6,RB,62,60,75,65,65,72,10,20,False,True
69,85,3.5,6.0,188,19,3,3,8.8,ST,58,55,70,68,57,16,11,19,False,True
70,84,3.8,9.0,192,14,3,3,8.1,CM,66,70,70,69,68,60,10,20,True,False
74,84,8.5,21.0,181,21,4,2,17.9,RB,57,64,77,57,62,71,12,21,False,True
87,87,85.0,210.0,179,8,3,4,161.5,CAM,83,86,79,82,84,70,13,29,False,True
82,85,36.0,72.0,190,26,4,2,71.1,CDM,67,69,65,80,75,84,10,28,False,True
78,85,28.5,81.0,182,23,2,3,59.9,CM,67,74,73,75,72,69,10,23,False,True
82,87,46.0,20.0,173,28,4,4,95.5,LW,73,80,82,69,78,56,12,25,False,True
78,85,26.5,61.0,194,4,3,2,55.7,CB,55,59,55,69,64,79,9,22,True,False
81,86,39.5,12.0,175,10,5,3,58.3,CM,70,82,76,76,79,69,9,23,False,True
73,84,6.5,28.0,182,10,4,3,13.7,ST,67,65,74,65,54,22,9,22,False,True
81,89,54.0,58.0,176,25,4,3,110.7,LB,65,71,85,74,70,77,10,21,True,False
79,86,35.0,73.0,183,27,3,3,73.5,CM,65,76,81,72,76,75,12,25,False,True
76,86,15.5,26.0,178,28,3,3,29.5,CDM,59,69,74,71,69,75,12,22,False,True
75,85,12.0,9.0,171,35,3,4,20.4,ST,68,71,86,70,67,38,9,21,False,True
69,82,3.3,500.0,178,65,5,4,9.3,CAM,60,67,75,57,60,37,9,20,False,True
77,84,20.0,16.0,187,12,3,2,46.0,CDM,52,61,64,74,59,78,12,24,False,True
70,84,3.7,16.0,176,34,3,3,9.2,CM,60,61,71,63,62,67,10,19,False,True
76,85,16.0,43.0,176,35,3,3,33.6,CDM,64,69,71,74,70,77,12,22,False,True
85,87,67.0,100.0,175,23,3,3,118.9,CM,75,80,85,81,82,80,11,26,False,True
78,84,22.5,63.0,195,7,3,4,47.3,ST,72,72,70,78,63,30,11,24,False,True
81,86,35.5,20.0,191,6,4,3,52.4,CDM,68,71,70,80,76,82,9,26,False,True
83,89,57.5,120.0,190,29,4,4,120.8,CAM,80,78,79,75,69,41,10,24,True,False
79,84,24.5,43.0,180,3,2,3,43.5,LB,66,75,81,71,68,74,11,25,True,False
75,82,11.5,25.0,182,22,3,3,24.2,RM,70,67,81,71,68,62,12,23,False,True
76,83,15.0,49.0,180,41,4,3,31.5,CM,69,71,80,78,71,69,10,22,False,True
84,92,91.0,51.0,184,42,4,5,168.4,CAM,68,75,86,66,71,66,9,20,False,True
69,84,3.2,4.0,165,18,4,3,7.4,RW,59,64,80,60,64,51,12,19,True,False
73,86,7.0,10.0,191,14,2,2,14.2,LB,62,68,67,77,62,69,12,20,True,False
76,88,17.5,4.0,172,10,3,3,31.5,LM,63,67,78,63,64,47,9,20,False,True
66,86,2.3,1.0,173,40,4,4,5.3,RW,51,62,77,57,53,25,13,18,True,False
85,88,68.0,130.0,180,66,4,3,130.9,RB,75,85,76,76,76,79,12,25,False,True
84,88,57.0,120.0,178,24,3,3,112.6,RWB,77,81,81,78,77,82,11,24,False,True
76,83,15.5,26.0,185,77,4,4,26.4,ST,69,69,83,77,61,28,10,23,False,True
82,88,46.0,16.0,173,23,3,3,0.0,RWB,71,77,79,77,76,76,10,24,False,True
77,87,23.0,49.0,168,19,4,4,47.2,CAM,64,70,80,57,64,41,10,20,True,False
82,87,42.5,47.0,191,4,2,3,75.4,CB,62,63,75,75,68,84,11,24,True,False
76,85,15.5,39.0,179,27,3,3,0.0,RB,61,65,80,65,66,70,10,20,False,True
77,86,21.5,36.0,186,13,3,3,0.0,LWB,68,66,80,70,64,71,12,21,True,False
62,83,1.2,3.0,173,49,3,3,3.4,RW,52,50,72,53,49,23,9,19,True,False
71,84,4.3,8.0,178,7,3,3,10.9,CM,62,71,77,65,65,64,11,20,False,True
68,85,3.0,700.0,178,82,4,4,7.9,CM,59,69,77,62,65,48,8,19,False,True
71,85,4.4,17.0,182,43,4,3,10.2,LM,63,71,74,61,54,37,9,20,True,False
80,80,23.0,95.0,171,19,4,4,43.7,CF,75,79,84,75,64,27,10,29,False,True
80,84,30.0,105.0,177,10,4,4,59.3,LW,69,72,85,68,63,39,13,25,False,True
85,88,68.0,130.0,180,66,4,3,130.9,RB,75,85,76,76,76,79,12,25,False,True
89,89,105.5,240.0,188,10,5,3,200.5,ST,87,81,74,85,82,40,11,30,False,True
77,77,10.5,30.0,181,7,3,3,17.9,CAM,70,72,76,70,68,56,10,31,True,False
87,90,104.5,230.0,180,21,3,4,222.1,CM,77,83,84,75,78,77,10,26,False,True
80,85,28.5,90.0,191,20,3,3,0.0,CDM,63,68,75,74,73,80,11,27,False,True
84,86,53.5,130.0,175,9,3,4,105.7,ST,79,75,88,80,73,35,10,26,False,True
81,85,37.5,71.0,195,9,3,3,66.6,ST,75,65,73,77,69,30,11,26,False,True
82,86,44.5,130.0,180,25,3,5,87.9,LW,72,79,83,56,65,31,11,23,False,True
79,85,26.0,13.0,184,61,2,2,57.2,CDM,52,59,66,66,67,78,12,24,False,True
86,89,72.5,52.0,195,1,3,1,128.7,GK,17,24,48,50,31,15,83,26,False,True
78,86,29.5,36.0,182,6,4,2,62.0,CB,53,58,72,59,59,80,11,23,False,True
75,82,9.5,63.0,192,13,3,1,21.4,GK,15,17,42,43,32,16,74,24,False,True
76,84,16.5,55.0,178,29,4,3,0.0,ST,70,62,77,68,60,17,12,22,False,True
76,85,17.0,27.0,176,18,3,3,39.1,CM,61,76,77,71,71,64,8,23,False,True
72,83,5.0,500.0,176,29,3,3,11.8,CM,65,68,75,67,68,71,10,20,False,True
78,85,26.5,950.0,190,37,3,2,63.6,CB,49,54,71,63,61,80,11,23,False,True
72,85,5.5,9.0,182,11,3,3,15.0,ST,65,60,74,64,54,22,7,19,True,False
74,85,9.0,14.0,185,21,3,3,15.3,CAM,67,76,72,70,66,47,11,21,True,False
68,83,2.9,21.0,181,27,4,3,7.3,ST,59,57,83,70,51,18,11,21,False,True
74,82,9.5,35.0,168,11,4,3,19.0,RW,70,66,85,69,58,43,10,22,False,True
73,86,7.0,14.0,180,11,3,4,0.0,RW,66,74,79,66,59,38,11,21,True,False
65,84,1.8,2.0,184,27,4,3,0.0,ST,58,56,65,64,48,18,8,18,False,True
70,86,4.1,7.0,179,27,3,3,8.3,RW,62,65,76,64,49,29,9,20,True,False
69,85,3.6,27.0,173,32,4,4,9.6,CAM,58,72,73,60,58,45,12,20,False,True
71,84,4.4,33.0,178,32,3,2,10.9,CM,57,63,69,59,61,68,12,20,True,False
67,85,2.5,600.0,179,96,3,3,6.6,LM,54,62,82,59,55,31,10,19,True,False
71,86,4.3,6.0,178,44,3,3,10.9,ST,65,67,77,63,59,27,8,18,False,True
88,88,29.0,230.0,172,10,4,4,59.5,CM,76,86,84,74,81,73,11,38,False,True
84,84,20.5,160.0,180,22,2,5,34.9,CF,76,89,82,75,75,50,11,35,True,False
85,85,57.0,100.0,189,8,4,3,94.1,CM,80,81,78,85,80,79,12,28,False,True
79,81,22.0,130.0,179,19,3,4,46.8,CM,66,78,73,68,74,69,13,27,False,True
86,89,94.0,90.0,175,18,3,5,166.9,CF,77,84,86,72,74,60,9,26,False,True
82,86,39.5,80.0,190,6,2,2,78.0,CB,52,54,61,62,64,83,10,26,True,False
84,88,54.5,75.0,185,23,4,2,96.7,CB,56,54,80,69,61,86,11,26,False,True
81,86,39.0,71.0,180,11,4,5,77.0,CAM,75,80,76,78,79,68,12,26,True,False
79,84,24.5,29.0,187,8,3,3,53.3,RB,62,65,72,65,65,81,11,25,False,True
78,85,28.0,24.0,179,10,3,4,44.8,LM,69,73,85,71,72,47,12,24,False,True
74,82,9.0,11.0,185,3,3,2,14.4,CB,59,58,76,72,61,73,8,24,True,False
83,89,53.5,145.0,187,18,3,3,120.4,CDM,69,74,75,79,77,80,10,23,False,True
74,83,9.0,53.0,171,21,3,4,18.5,LB,67,75,77,70,74,71,10,23,True,False
80,84,27.5,46.0,185,19,3,3,54.3,CDM,64,72,73,73,75,79,9,24,False,True
79,85,27.5,32.0,172,11,2,4,63.3,RM,67,72,85,72,59,35,9,24,True,False
76,85,16.5,30.0,173,11,3,4,34.7,RM,61,65,87,68,57,25,10,21,False,True
76,85,16.0,16.0,167,3,3,3,36.8,LB,57,64,85,65,62,72,10,24,True,False
79,85,28.0,35.0,192,19,3,3,58.8,CM,72,74,74,76,74,76,10,22,False,True
75,84,12.0,5.0,167,20,4,4,20.4,LM,64,74,84,66,67,53,9,21,False,True
79,86,36.0,37.0,172,81,5,4,0.0,CF,72,70,81,67,65,23,10,23,False,True
74,84,9.5,32.0,175,20,4,4,20.0,LM,62,68,85,68,58,27,11,21,False,True
75,83,12.5,64.0,191,18,3,3,26.3,ST,63,58,72,71,62,27,10,22,False,True
75,86,12.0,7.0,176,7,3,4,26.4,RM,62,69,79,58,58,25,10,21,False,True
67,85,2.6,8.0,182,28,3,2,0.0,CM,55,63,66,58,63,64,11,20,True,False
71,84,4.3,11.0,174,29,2,3,11.3,LB,64,73,72,65,62,68,11,21,True,False
76,84,16.0,29.0,173,2,3,3,33.6,RB,69,73,77,64,68,73,7,22,False,True
77,85,23.5,18.0,182,11,4,4,54.1,RM,71,67,78,69,61,47,10,22,True,False
73,82,6.5,42.0,189,15,3,2,13.7,CB,49,52,62,64,63,74,10,23,True,False
72,82,5.0,27.0,174,13,3,3,0.0,RM,62,64,77,58,57,31,9,20,True,False
76,84,16.0,36.0,176,28,3,2,33.6,CDM,60,66,75,69,66,72,9,22,True,False
71,82,4.1,14.0,185,16,3,3,0.0,RW,65,53,82,66,54,19,11,22,False,True
71,71,1.2,550.0,181,30,4,3,2.6,ST,68,62,52,69,68,32,9,35,False,True
81,81,27.5,69.0,173,8,3,3,52.3,CM,71,86,70,76,75,68,13,29,False,True
80,80,20.5,120.0,169,17,3,4,39.0,CM,68,78,84,75,77,75,13,30,True,False
84,84,45.0,62.0,183,11,3,4,76.5,RW,77,81,86,74,72,34,6,29,True,False
82,82,30.0,43.0,180,32,2,4,51.0,LM,73,83,78,71,71,37,11,30,False,True
81,81,28.0,69.0,175,11,3,4,47.6,RW,72,73,88,70,69,36,12,28,False,True
83,86,43.5,95.0,180,8,4,3,85.9,CDM,74,83,69,77,79,78,12,26,False,True
88,92,103.5,110.0,196,99,3,1,199.2,GK,16,24,59,51,37,17,85,24,False,True
75,80,8.5,60.0,180,14,3,3,16.8,ST,67,59,78,68,59,20,10,24,False,True
76,84,17.0,23.0,168,20,4,4,35.7,CAM,69,74,82,66,71,72,13,23,False,True
76,83,13.0,23.0,196,1,3,1,27.3,GK,21,26,44,41,32,20,75,23,True,False
79,86,33.0,43.0,187,2,3,2,62.7,CB,55,59,70,66,67,80,10,23,False,True
80,86,34.0,29.0,188,8,4,4,78.2,CAM,75,73,76,74,74,58,11,23,False,True
77,85,24.0,10.0,182,29,3,2,38.4,ST,72,67,71,79,73,46,10,22,True,False
81,86,39.5,105.0,186,21,3,4,0.0,RW,76,78,77,77,72,58,9,23,True,False
78,84,22.0,46.0,178,7,2,4,46.2,RW,64,78,83,62,67,52,10,22,True,False
76,82,11.5,67.0,173,21,4,4,0.0,RB,63,69,83,64,66,71,13,23,False,True
77,86,23.0,62.0,179,6,4,3,0.0,CM,65,76,77,73,72,77,11,22,False,True
74,86,10.0,41.0,170,28,4,3,20.5,CAM,62,68,80,61,59,44,10,21,False,True
77,85,23.5,62.0,176,21,3,3,49.4,CAM,67,75,74,61,64,40,10,23,True,False
73,84,6.5,8.0,186,2,3,2,11.1,CB,48,48,67,64,60,75,11,22,False,True
71,82,4.1,14.0,185,16,3,3,0.0,RW,65,53,82,66,54,19,11,22,False,True
81,81,21.5,170.0,175,7,4,4,44.1,LW,75,83,81,70,72,28,9,32,False,True
91,91,84.0,420.0,185,9,4,4,172.2,ST,86,82,81,85,81,32,11,35,False,True
85,85,28.0,190.0,170,18,3,3,57.4,LB,78,78,84,71,76,77,12,34,True,False
88,88,89.5,230.0,183,7,5,4,170.1,LW,81,81,85,78,73,38,11,31,False,True
82,82,31.0,64.0,190,94,4,4,52.7,CF,78,84,79,79,72,48,12,29,True,False
77,77,11.5,77.0,178,37,2,4,21.9,RW,61,68,86,78,62,38,11,27,False,True
83,85,45.5,105.0,176,8,5,4,89.9,CM,78,83,67,79,77,70,10,26,False,True
82,82,32.0,69.0,170,68,4,3,54.4,CM,64,77,78,77,74,79,12,29,False,True
79,82,22.0,86.0,183,29,2,3,43.5,RB,56,64,78,65,67,82,8,26,False,True
78,83,20.0,59.0,188,18,5,2,39.5,RB,55,60,73,60,65,81,9,25,False,True
81,84,35.0,100.0,181,19,4,3,69.1,CAM,76,83,77,72,73,53,12,24,False,True
81,85,38.0,95.0,192,14,5,4,75.1,ST,76,73,81,76,68,29,8,24,False,True
77,81,15.0,49.0,175,8,3,4,29.6,CAM,68,78,77,68,73,63,10,25,False,True
79,84,24.5,26.0,192,2,3,2,43.5,CB,64,63,68,72,69,79,9,24,True,False
84,89,57.5,75.0,190,95,3,2,102.1,CB,59,64,70,65,69,86,10,24,True,False
79,83,24.0,86.0,169,12,3,3,47.4,LB,63,65,83,74,66,78,10,24,True,False
77,81,15.0,73.0,185,28,3,3,0.0,CM,77,75,75,80,75,76,10,25,False,True
80,84,28.0,85.0,173,32,3,3,55.3,LB,68,75,79,74,74,79,10,25,True,False
79,84,27.0,53.0,184,12,4,4,0.0,ST,75,76,80,78,69,33,11,24,False,True
80,83,29.0,58.0,180,22,2,4,51.5,RW,77,71,82,70,70,41,8,25,True,False
84,85,50.5,155.0,180,23,4,4,97.2,LW,74,76,86,79,67,34,13,26,False,True
82,88,49.0,150.0,184,11,4,4,110.3,LW,78,77,83,75,69,29,12,23,False,True
83,87,45.5,43.0,191,4,3,2,99.0,CB,58,59,70,68,65,84,12,26,True,False
83,88,55.5,130.0,189,18,4,4,106.8,CF,78,79,81,80,69,37,10,24,False,True
75,84,12.0,44.0,184,90,3,3,0.0,RWB,51,58,79,60,55,68,9,23,False,True
76,84,15.5,31.0,190,4,2,2,29.5,CB,48,53,73,61,59,77,12,23,False,True
75,83,12.5,21.0,181,29,3,3,23.8,ST,70,65,78,74,66,39,11,23,False,True
